SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	September 24, 2018	September 21, 2018	September 20, 2018	September 19, 2018	September 18, 2018
Thai baht		45.515600	45.444600	45.619800	45.680900
Trinidadian dollar		9.478760		9.466110	9.391440
Tunisian dinar		3.889600	3.903030	3.885550	3.881640
U.A.E. dirham	5.157300	5.160410	5.156530	5.149650	5.146260
Uruguayan peso			46.170600	46.416200	46.415100
Bolivar Fuerte					


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
